title,author,genre,description,category,rating,maturity rating,page count
Murder on the Orient Express,['Agatha Christie'],mystery,"Hercule Poirot observed his fellow passengers on the Orient Express: a Russian princess, an English colonel, an American with a strange glint in his eye and many more. He was looking forward to the journey. But is was not to be. After a restless night, he awoke to find that tragedy had struck.",['Detective and mystery stories'],4,NOT_MATURE,254
A Case of Need,"['Michael Crichton', 'Jeffrey Hudson']",mystery,Murder? Botched surgery? Accidental malpractice? Someone violating the Hippocratic oath? No one knows exactly ... Only one doctor is willing to push his way through the hidden medical data and secrets to learn the truth.,['Abortion'],3,NOT_MATURE,416
Brother Odd,['Dean Ray Koontz'],mystery,"Loop me in, odd one.The words, spoken in the deep of night by a sleeping child, chill the young man watching over her. For this was a favorite phrase of Stormy Llewellyn, his lost love, and Stormy is dead, gone forever from this world. In the haunted halls of the isolated monastery where he had sought peace, Odd Thomas is stalking spirits of an infinitely darker nature Through twoNew York Timesbestselling novels Odd Thomas has established himself as one of the most beloved and unique fictional heroes of our time. Now, wielding all the power and magic of a master storyteller at the pinnacle of his craft, Dean Koontz follows Odd into a singular new world where he hopes to make a fresh beginning—but where he will meet an adversary as old and inexorable as time itself. St. Bartholomew’s Abbey sits in majestic solitude amid the wild peaks of California’s high Sierra, a haven for children otherwise abandoned, and a sanctuary for those seeking insight. Odd Thomas has come here to learn to live fully again, and among the eccentric monks, their other guests, and the nuns and young students of the attached convent school, he has begun to find his way. The silent spirits of the dead who visited him in his earlier life are mercifully absent, save for the bell-ringing Brother Constantine and Odd’s steady companion, the King of Rock 'n' Roll. But trouble has a way of finding Odd Thomas, and it slinks back onto his path in the form of the sinister bodachs he has met previously, the black shades who herald death and disaster, and who come late one December night to hover above the abbey’s most precious charges. For Odd is about to face an enemy who eclipses any he has yet encountered, as he embarks on a journey of mystery, wonder, and sheer suspense that surpasses all that has come before. From the Hardcover edition.",['Colecção Suspense'],3.5,NOT_MATURE,464
True Evil,['Greg Iles'],mystery,"The idyllic life of busy Natchez doctor Chris Shepard is turned upside down when undercover FBI agent Alex Morse recruits him for a case involving a local divorce attorney who is suspected of murdering the spouses of his clients. By the author of Turning Angel. 350,000 first printing.",['Fiction'],3,NOT_MATURE,529
"""E"" is for Evidence",['Sue Grafton'],mystery,Kinsey Millhone has been framed for a crime she didn't commit and must now uncover the truth or face losing everything she has worked for.,['FICTION'],3.5,NOT_MATURE,216
Beautiful Lies,['Lisa Unger'],mystery,Divorced parents Liana Robeson and Cullen Lewellyn travel together to Australia to find their son who is missing along with the pearl of great price. The story flashbacks to the lives and tragedies of the former owners of the pearl.,['Birthfathers'],3.5,NOT_MATURE,590
The Unbreakable Code,['Jennifer Chambliss Bertman'],mystery,No description,No category,0,Not rated,No data
The ABC Murders,['Agatha Christie'],mystery,No description,No category,0,Not rated,No data
Agatha Raisin and the Fairies of Fryfam,['M. C. Beaton'],mystery,"When a prominent village resident is found murdered, Agatha Raisin ignores the talk of fairies and supernatural happenings and begins to search for an all-too-human killer. Reprint.",['Fiction'],3,NOT_MATURE,230
Tuesday,['David Wiesner'],mystery,"Frogs rise on their lily pads, float through the air, and explore nearby houses while their inhabitants sleep.",['Juvenile Fiction'],4,NOT_MATURE,36
The Curious Incident of the Dog in the Night-Time,"['Simon Stephens', 'Mark Haddon']",mystery,"Christopher, stands beside Mrs Shears's dead dog. It has been speared with a garden fork, it is seven minutes after midnight, and Christopher is under suspicion. He records each fact in the book he is writing to solve the mystery of who murdered Wellington.",['Drama'],3.5,NOT_MATURE,111
What Mrs. McGillicuddy Saw!,['Agatha Christie'],mystery,No description,No category,0,Not rated,No data
An Overdose of Death,['Agatha Christie'],mystery,No description,No category,0,Not rated,No data
The Shape of Water,['Andrea Camilleri'],mystery,Follows Sicilian detective Inspector Montalbano as he investigates the suspicious death of an engineer who had made a name for himself in a small town.,['Detective and mystery stories'],3.5,NOT_MATURE,240
The Curious Incident of the Dog in the Night-time,['Mark Haddon'],mystery,"YA. Murder mystery. Despite his overwhelming fear of interacting with people, Christopher, a mathematically-gifted, autistic fifteen-year-old boy, decides to investigate the murder of a neighbour's dog and uncovers secret information about his mother. Whitbread book of the year 2003. WAYRBA list 2005.","[""Asperger's syndrome""]",3.5,NOT_MATURE,288
Last Scene Alive,['Charlaine Harris'],mystery,"Last Scene Alive by Charlaine Harris released on Nov 24, 2003 is available now for purchase.",['Detective and mystery stories'],3,NOT_MATURE,260
To the Nines,['Janet Evanovich'],mystery,"Pursuing a skip, Stephanie travels to Las Vegas, where she meets up with Sally Sweet, Joe Morelli, and Ranger, and works to outmaneuver a trio of mobsters who are determined to prevent Stephanie's return home.",['Fiction'],4,NOT_MATURE,360
The A.B.C. Murders,['Agatha Christie'],mystery,"A is for Ascher, cudgeled in Andover. B is for Barnard, strangled in Bexhill. C is for Clarke, struck down in Churston. Beside each body is an A.B.C. Railway guide; before each murder Hercule Poirot is notified. In one of Christie's most twisted tales, the meticulous Belgian sleuth must navigate the eerie maze of a serial killer's mind. D is for Doncaster, where the next victim dies... E is for evidence, ingeniously analyzed.",['Fiction'],3.5,NOT_MATURE,252
Death on the Nile,['Agatha Christie'],mystery,No description,No category,0,Not rated,No data
Sons and Lovers,['David Herbert Lawrence'],romance,A provocative portrait of an artist torn between love for his possessive mother and desire for two young beautiful women. It is also the story of Paul Morel's growing into manhood torn by both inner and outer conflict.,['Autobiographical fiction'],3,NOT_MATURE,534
The Glass Menagerie,['Tennessee Williams'],romance,The only single edition now available of this American classic about a mother obsessed with her disabled daughter.,['Drama'],4,NOT_MATURE,132
Daughter of the Forest,['Juliet Marillier'],romance,"To reclaim the lives of her brothers, Sorcha leaves the only safe place she has known and starts on a journey of pain, loss, and terror.",['Fiction'],4,NOT_MATURE,438
