title,author,genre,description,category,rating,maturity rating,page count
Adventures of Huckleberry Finn,['Samuel Langhorne Clemens'],fiction,No description,No category,0,Not rated,No data
Lilac Girls,['Martha Hall Kelly'],fiction,"NEW YORK TIMES BESTSELLER • One million copies sold! Inspired by the life of a real World War II heroine, this remarkable debut novel reveals the power of unsung women to change history in their quest for love, freedom, and second chances. “Extremely moving and memorable . . . This impressive debut should appeal strongly to historical fiction readers and to book clubs that adored Kristin Hannah’s The Nightingale and Anthony Doerr’s All the Light We Cannot See.”—Library Journal (starred review) New York socialite Caroline Ferriday has her hands full with her post at the French consulate and a new love on the horizon. But Caroline’s world is forever changed when Hitler’s army invades Poland in September 1939—and then sets its sights on France. An ocean away from Caroline, Kasia Kuzmerick, a Polish teenager, senses her carefree youth disappearing as she is drawn deeper into her role as courier for the underground resistance movement. In a tense atmosphere of watchful eyes and suspecting neighbors, one false move can have dire consequences. For the ambitious young German doctor, Herta Oberheuser, an ad for a government medical position seems her ticket out of a desolate life. Once hired, though, she finds herself trapped in a male-dominated realm of Nazi secrets and power. The lives of these three women are set on a collision course when the unthinkable happens and Kasia is sent to Ravensbrück, the notorious Nazi concentration camp for women. Their stories cross continents—from New York to Paris, Germany, and Poland—as Caroline and Kasia strive to bring justice to those whom history has forgotten. USA Today “New and Noteworthy” Book • LibraryReads Top Ten Pick",['Fiction'],4,NOT_MATURE,497
Being There,['Jerzy Kosinski'],fiction,"A quirky, brilliant novel starring Chauncey Gardiner, an enigmatic man who rises from nowhere to become a media phenomenon—“a fabulous creature of our age” (Newsweek). One of the most beloved novels by the New York Times–bestselling and National Book Award–winning author of The Painted Bird and Pinball, Being There is the story of a mysterious man who finds himself at the center of Wall Street and Washington power—including his role as a policy adviser to the president—despite the fact that no one is quite sure where he comes from, or what he is actually talking about. Nevertheless, Chauncey “Chance” Gardiner is celebrated by the media, and hailed as a visionary, in this satirical masterpiece that became an award-winning film starring Peter Sellers. As wise and timely as ever, Being There is “a tantalizing knuckleball of a book delivered with perfectly timed satirical hops and metaphysical flutters” (Time).",['Fiction'],4,NOT_MATURE,160
Time and Again,['Jack Finney'],fiction,"The 50th anniversary edition of the beloved classic that Stephen King has called “THE great time-travel story.” Featuring a brand-new introduction by the New York Times bestselling author of Recursion, Blake Crouch. When advertising artist Si Morley is recruited to join a covert government operation exploring the possibility of time travel, he jumps at the chance to leave his mundane 20th-century existence and step into the past. But he also has another motivation for going back in time: a half-burned letter that tells of a mysterious, tragic death and ominously of “fire which will destroy the whole world.” Traveling to New York City in January 1882 to investigate, he finds a Manhattan teeming with a different kind of life, the waterfront unimpeded by skyscrapers, open-air markets packed with activity, Central Park bustling with horse drawn sleighs—a city on the precipice of great things. At first, Si welcomes these trips as a temporary escape but when he falls in love with a woman he meets in the past, he must choose whether to return to modern life or live in 1882 for good. “Pure New York fun” (Alice Hoffman, New York Times bestselling author), Time and Again is meticulous recreation of New York in the late nineteenth century, exploring the possibilities of time travel to tell an ageless story of love, longing, and adventure. Finney’s magnum opus has been a source of inspiration for countless science fiction writers since its first publication in 1970.",['Fiction'],3.5,NOT_MATURE,512
Bartleby the Scrivener — A Story of Wall-Street,['Herman Melville'],fiction,"Bartleby, the Scrivener: A Story of Wall Street, also called a masterpiece of short fiction, is a short story by the American writer Herman Melville. It tells about a Wall Street lawyer who hires a new clerk who, after an initial bout of hard work, refuses to make copies or do any other task required of him, refusing with the words ""I would prefer not to.""",['Fiction'],3.5,NOT_MATURE,36
The Ghost Rider,['Ismail Kadare'],fiction,"""Ismail Kadare is one of Europe's most consistently interesting and powerful contemporary novelists, a writer whose stark, memorable prose imprints itself on the reader's consciousness."" --Los Angeles Times An old woman is awoken in the dead of night by knocks at her front door. The woman opens it to find her daughter, Doruntine, standing there alone in the darkness. She has been brought home from a distant land by a mysterious rider she claims is her brother Konstandin. But unbeknownst to her, Konstandin has been dead for years. What follows is chain of events which plunges a medieval village into fear and mistrust. Who is the ghost rider?",['Fiction'],3,NOT_MATURE,224
The Memorabilia,['Xenophon'],fiction,No description,No category,0,Not rated,No data
The Boleyn Inheritance,['Philippa Gregory'],fiction,"THREE WOMEN WHO SHARE ONE FATE: THE BOLEYN INHERITANCE ANNE OF CLEVES She runs from her tiny country, her hateful mother, and her abusive brother to a throne whose last three occupants are dead. King Henry VIII, her new husband, instantly dislikes her. Without friends, family, or even an understanding of the language being spoken around her, she must literally save her neck in a court ruled by a deadly game of politics and the terror of an unpredictable and vengeful king. Her Boleyn Inheritance: accusations and false witnesses. KATHERINE HOWARD She catches the king's eye within moments of arriving at court, setting in motion the dreadful machine of politics, intrigue, and treason that she does not understand. She only knows that she is beautiful, that men desire her, that she is young and in love -- but not with the diseased old man who made her queen, beds her night after night, and killed her cousin Anne. Her Boleyn Inheritance: the threat of the axe. JANE ROCHFORD She is the Boleyn girl whose testimony sent her husband and sister-in-law to their deaths. She is the trusted friend of two threatened queens, the perfectly loyal spy for her uncle, the Duke of Norfolk, and a canny survivor in the murderous court of a most dangerous king. Throughout Europe, her name is a byword for malice, jealousy, and twisted lust. Her Boleyn Inheritance: a fortune and a title, in exchange for her soul. The Boleyn Inheritance is a novel drawn tight as a lute string about a court ruled by the gallows and three women whose positions brought them wealth, admiration, and power as well as deceit, betrayal, and terror. Once again, Philippa Gregory has brought a vanished world to life -- the whisper of a silk skirt on a stone stair, the yellow glow of candlelight illuminating a hastily written note, the murmurs of the crowd gathering on Tower Green below the newly built scaffold. In The Boleyn Inheritance Gregory is at her intelligent and page-turning best.",['Fiction'],4,NOT_MATURE,596
Jane Eyre,['Charlotte Bronte'],fiction,No description,No category,0,Not rated,No data
World War Z,['Max Brooks'],fiction,An account of the decade-long conflict between humankind and hordes of the predatory undead is told from the perspective of dozens of survivors who describe in their own words the epic human battle for survival.,['Fiction'],3.5,NOT_MATURE,342
The Adventures of Tom Sawyer,['Mark Twain'],fiction,No description,No category,0,Not rated,No data
Palace Walk,['Naguib Mahfouz'],fiction,"Palace Walk is the first novel in Nobel Prize-winner Naguib Mahfouz’s magnificent Cairo Trilogy, an epic family saga of colonial Egypt that is considered his masterwork. The novels of the Cairo Trilogy trace three generations of the family of tyrannical patriarch al-Sayyid Ahmad Abd al-Jawad, who rules his household with a strict hand while living a secret life of self-indulgence. Palace Walk introduces us to his gentle, oppressed wife, Amina, his cloistered daughters, Aisha and Khadija, and his three sons—the tragic and idealistic Fahmy, the dissolute hedonist Yasin, and the soul-searching intellectual Kamal. The family’s trials mirror those of their turbulent country during the years spanning the two world wars, as change comes to a society that has resisted it for centuries. Translated by William Maynard Hutchins and Olive E. Kenny",['Fiction'],4,NOT_MATURE,546
Journey to the Center of the Earth,['Jules Verne'],fiction,"The intrepid Professor Lindenbrock embarks upon the strangest expedition of the nineteenth century: a journey down an extinct Icelandic volcano to the Earth’s very core. In his quest to penetrate the planet’s primordial secrets, the geologist—together with his quaking nephew Axel and their devoted guide, Hans—discovers an astonishing subterranean menagerie of prehistoric proportions. Verne’s imaginative tale is at once the ultimate science fiction adventure and a reflection on the perfectibility of human understanding and the psychology of the questor. As David Brin notes in his Introduction, though Verne never knew the term “science fiction,” Journey to the Centre of the Earth is “inarguably one of the wellsprings from which it all began.”",['Fiction'],3.5,NOT_MATURE,240
Leaves of Grass,['Walt Whitman'],fiction,No description,No category,0,Not rated,No data
Sir Gawain and the Green Knight,['J. A. Burrow'],fiction,"The Green Knight, a mysteriously powerful creature, tests the honor and courage of King Arthur's youngest knight.",['Poetry'],3,NOT_MATURE,182
Growth of the Soil,['Knut Hamsun'],fiction,The story of an elemental existence in rural Norway.,['Fiction'],5,NOT_MATURE,449
The Prince of Tides,['Pat Conroy'],fiction,"“A big, sprawling saga of a novel” (San Francisco Chronicle), this epic family drama is a masterwork by the revered author of The Great Santini. Pat Conroy’s classic novel stings with honesty and resounds with drama. Spanning forty years, it’s the story of turbulent Tom Wingo, his gifted and troubled twin sister, Savannah, and their struggle to triumph over the dark and tragic legacy of the extraordinary family into which they were born. Filled with the vanishing beauty of the South Carolina Low Country as well as the dusty glitter of New York City, The Prince of Tides showcases an American original at his very best. Praise for The Prince of Tides “This is a powerful book. . . . [Pat] Conroy is a master of language.”—The Atlanta Journal “A big, sprawling saga of a novel . . . the kind you can hole up with and spend some days with and put down feeling that you’ve emerged from a terrible, wonderful spell.”—San Francisco Chronicle “A literary gem . . . The Prince of Tides is in the best tradition of novel writing. It is an engrossing story of unforgettable characters.”—The Pittsburgh Press “A masterpiece.”—Detroit Free Press “Brilliant.”—Chicago Tribune",['Fiction'],4,NOT_MATURE,686
The Red Badge of Courage,['Stephen Crane'],fiction,"Small masterpiece set the pattern for the treatment of war in modern fiction. Amid the nightmarish chaos of a Civil War battle, a young soldier discovers courage, humility, and, perhaps, wisdom. Widely praised for uncanny re-creation of the sights, sounds, and sense of actual combat. An enduring landmark of American fiction.",['Fiction'],4,NOT_MATURE,113
My Antonia,['Willa Cather'],fiction,"In the late nineteenth century, a fourteen-year-old immigrant girl from Bohemia and a ten-year-old orphan boy arrive in Black Hawk, Nebraska, and in teaching each other form a friendship that will last a lifetime.",['Fiction'],4,NOT_MATURE,194
Science Fiction by Scientists,['Michael Brotherton'],science fiction,No description,No category,0,Not rated,No data
On the Origin of Stories,['Brian Boyd'],science fiction,"A century and a half after the publication of Origin of Species, evolutionary thinking has expanded beyond the field of biology to include virtually all human-related subjects—anthropology, archeology, psychology, economics, religion, morality, politics, culture, and art. Now a distinguished scholar offers the first comprehensive account of the evolutionary origins of art and storytelling. Brian Boyd explains why we tell stories, how our minds are shaped to understand them, and what difference an evolutionary understanding of human nature makes to stories we love. Art is a specifically human adaptation, Boyd argues. It offers tangible advantages for human survival, and it derives from play, itself an adaptation widespread among more intelligent animals. More particularly, our fondness for storytelling has sharpened social cognition, encouraged cooperation, and fostered creativity. After considering art as adaptation, Boyd examines Homer’s Odyssey and Dr. Seuss’s Horton Hears a Who! demonstrating how an evolutionary lens can offer new understanding and appreciation of specific works. What triggers our emotional engagement with these works? What patterns facilitate our responses? The need to hold an audience’s attention, Boyd underscores, is the fundamental problem facing all storytellers. Enduring artists arrive at solutions that appeal to cognitive universals: an insight out of step with contemporary criticism, which obscures both the individual and universal. Published for the bicentenary of Darwin’s birth and the 150th anniversary of the publication of Origin of Species, Boyd’s study embraces a Darwinian view of human nature and art, and offers a credo for a new humanism.",['Literary Criticism'],4,NOT_MATURE,555
"Wizards, Aliens, and Starships",['Charles L. Adler'],science fiction,Resource added for the ​Laboratory Science Technician program 105065.,['Mathematics'],5,NOT_MATURE,392
The Norton Book of Science Fiction,"['Ursula K. Le Guin', 'Brian Attebery']",science fiction,No description,No category,0,Not rated,No data
Comeuppance,['William Flesch'],science fiction,No description,No category,0,Not rated,No data
Fantastic Voyages,"['Leroy W. Dubeck', 'Suzanne E. Moshier', 'Judith E. Boss']",science fiction,No description,No category,0,Not rated,No data
Science Fact and Science Fiction,['Brian M. Stableford'],science fiction,Publisher description,['Literature and science'],5,NOT_MATURE,758
Ethical Futures and Global Science Fiction,"['Zachary Kendal', 'Aisling Smith', 'Giulia Champion', 'Andrew Milner']",science fiction,No description,No category,0,Not rated,No data
Teaching Science Fact with Science Fiction,['Gary Raham'],science fiction,No description,No category,0,Not rated,No data
H. G. Wells,['Herbert George Wells'],science fiction,No description,No category,0,Not rated,No data
Science Fiction and Futurism,['Ace G. Pilkington'],science fiction,No description,No category,0,Not rated,No data
Time Machines,['Paul J. Nahin'],science fiction,"This book explores the idea of time travel from the first account in English literature to the latest theories of physicists such as Kip Thorne and Igor Novikov. This very readable work covers a variety of topics including: the history of time travel in fiction; the fundamental scientific concepts of time, spacetime, and the fourth dimension; the speculations of Einstein, Richard Feynman, Kurt Goedel, and others; time travel paradoxes, and much more.",['Science'],4.5,NOT_MATURE,674
The Science of Science Fiction,['Mark Brake'],science fiction,No description,No category,0,Not rated,No data
Science Fiction: Vision of Tomorrow?,"['Richard Hantula', 'Isaac Asimov']",science fiction,No description,No category,0,Not rated,No data
Time Machine Tales,['Paul J. Nahin'],science fiction,No description,No category,0,Not rated,No data
Science Fact and Science Fiction,['Brian M. Stableford'],science fiction,Publisher description,['Literature and science'],5,NOT_MATURE,758
Ecosickness in Contemporary U.S. Fiction,['Heather Houser'],science fiction,No description,No category,0,Not rated,No data
Small Doses of the Future,['Brad Aiken'],science fiction,No description,No category,0,Not rated,No data
Different Engines,"['Mark Brake', 'Neil Hook']",science fiction,No description,No category,0,Not rated,No data
Teaching Science Fact with Science Fiction,['Gary Raham'],science fiction,No description,No category,0,Not rated,No data
Exploring Science Through Science Fiction,['Barry B. Luokkala'],science fiction,No description,No category,0,Not rated,No data
"Fact, Fiction, and Forecast",['Nelson Goodman'],science fiction,No description,No category,0,Not rated,No data
"Energy, Ecocriticism, and Nineteenth-Century Fiction",['Barri J. Gold'],science fiction,No description,No category,0,Not rated,No data
Consciousness and Science Fiction,['Damien Broderick'],science fiction,No description,No category,0,Not rated,No data
Time in Fiction,"['Craig Bourne', 'Emily Caddick Bourne']",science fiction,No description,No category,0,Not rated,No data
Citizen Science Fiction,['Dr. Jerome Winter'],science fiction,No description,No category,0,Not rated,No data
"Science Fiction, Critical Frontiers",['NA NA'],science fiction,No description,No category,0,Not rated,No data
Justice in Young Adult Speculative Fiction,['Marek C. Oziewicz'],science fiction,No description,No category,0,Not rated,No data
Psience Fiction,['Damien Broderick'],science fiction,No description,No category,0,Not rated,No data
The Cognitive Value of Philosophical Fiction,['Jukka Mikkonen'],science fiction,No description,No category,0,Not rated,No data
Science Fiction and the Moral Imagination,['Russell Blackford'],science fiction,No description,No category,0,Not rated,No data
Time in Fiction,"['Craig Bourne', 'Emily Caddick Bourne']",science fiction,No description,No category,0,Not rated,No data
Science Fiction Prototyping,['Brian David Johnson'],science fiction,No description,No category,0,Not rated,No data
Margaret Atwood's Dystopian Fiction,['Sławomir Kuźnicki'],science fiction,No description,No category,0,Not rated,No data
Darwin and the Novelists,['George Levine'],science fiction,No description,No category,0,Not rated,No data
Desire and Empathy in Twentieth-Century Dystopian Fiction,['Thomas Horan'],science fiction,No description,No category,0,Not rated,No data
Archangel,['Andrea Barrett'],science fiction,"A twelve-year-old boy discovers the wonders of science and the natural world from motorized bicycles, to airplanes, to x-ray technology, and genetics in this collection of five stories.",['Fiction'],3.5,NOT_MATURE,257
Science Fiction and Futurism,['Ace G. Pilkington'],science fiction,No description,No category,0,Not rated,No data
Science Fiction and the Moral Imagination,['Russell Blackford'],science fiction,No description,No category,0,Not rated,No data
Consciousness and Science Fiction,['Damien Broderick'],science fiction,No description,No category,0,Not rated,No data
The Saints,['Lex Thomas'],dystopian,The world inside an infected Colorado high school quarantined by the government takes a startling turn for the worse when a new gang enters the school and starts gaining power.,['Juvenile Fiction'],4,NOT_MATURE,418
Noughts & Crosses,['Malorie Blackman'],dystopian,Sephy is a Cross a member of the dark-skinned ruling class. Callum is a nought a colourless member of the underclass who were once slaves to the Crosses. The two have been friends since early childhood. But that s as far as it can go. Until the firs,['Alternative histories (Fiction)'],4,NOT_MATURE,484
Among the Brave,['Margaret Peterson Haddix'],dystopian,Publisher Description,['Juvenile Fiction'],4.5,NOT_MATURE,250
Catching Fire,['Suzanne Collins'],dystopian,No description,No category,0,Not rated,No data
Red Queen,['Victoria Aveyard'],dystopian,"Mare is a Red, scraping by as a thief in a poor, rural village, until a twist of fate throws her in front of the Silver court. Before the king, princes, and all the nobles, she discovers she has an ability of her own.",['Dystopian'],3.5,NOT_MATURE,416
Maze Runner Prequel: The Kill Order,['James Dashner'],dystopian,No description,No category,0,Not rated,No data
Messenger,['Lois Lowry'],dystopian,"Critically acclaimed and bestselling author Lowry returns with the eagerly anticipated companion to ""Gathering Blue"" and ""The Giver,"" winner of the Newbery Medal.",['Juvenile Fiction'],3.5,NOT_MATURE,0
The Knife of Never Letting Go,['Patrick Ness'],dystopian,Readers are in for a white-knuckle journey in this series that follows a boy and girl on the run from a town where all thoughts can be heard--and the passage into manhood embodies a horrible secret.,['Juvenile Fiction'],4,NOT_MATURE,504
Uglies,"['Scott Westerfeld', 'Rodrigo Corral']",dystopian,"Just before their sixteenth birthdays, when they will will be transformed into beauties whose only job is to have a great time, Tally's best friend runs away and Tally must find her and turn her in, or never become pretty at all.",['Juvenile Fiction'],4,NOT_MATURE,456
Feed,['M. T. Anderson'],dystopian,"In a future where most people have computer implants in their heads to control their environment, a boy meets an unusual girl who is in serious trouble.",['Dystopian'],3.5,NOT_MATURE,0
Allegiant,['Veronica Roth'],dystopian,What if your whole world was a lie? The thrillingly dark conclusion to the No. 1 New York Times bestselling DIVERGENT trilogy.,['Juvenile Fiction'],2.5,NOT_MATURE,526
Brotherhood,['Mohamed Mbougar Sarr'],dystopian,"WINNER of the French Voices Grand Prize, Prix Ahmadou Kourouma, and Grand Prix du Roman Métis Mohamed Mbougar Sarr's searing and thought-provoking debut novel, Brotherhood takes place in the imaginary town of Kalep, where a fundamentalist Islamist government has spread its brutal authority. Under the regime of the so-called Brotherhood, two young people are publicly executed for having loved each other. In response, their mothers begin a secret correspondence, their only outlet for the grief they share and each woman's personal reckoning with a leadership that would take her beloved child's life. At the same time, spurred on by their indignation at what seems to be an escalation of The Brotherhood's brutality, a band of intellectuals and free-thinkers seeks to awaken the conscience of the cowed populace and foment rebellion by publishing an underground newspaper. While they grapple with the implications of what they have done, the regime's brutal leader begins a personal crusade to find the responsible parties, and bring them to his own sense of justice. In this brilliant analysis of tyranny and brutality, Mbougar Sarr explores the ways in which resistance and heroism can often give way to cowardice, all while giving voice to the moral ambiguities and personal struggles involved in each of his characters' search to impose the values they hold most dear.",['Fiction'],5,NOT_MATURE,208
The Bumblebee Flies Anyway,['Robert Cormier'],dystopian,"Sixteen-year-old Barney can't remember life before the Complex, an experimental clinlc. He knows he's different--he's the control subject. Then he uncovers a terrible secret about himself, a secret that drives him to fulfill his and his fellow subjects' ultimate dream. The Bumblebee must fly!",['Death'],4,NOT_MATURE,252
The Scorpio Races,['Maggie Stiefvater'],dystopian,"A stunning new novel from the bestselling author of SHIVER, LINGER AND FOREVER. Stay alive, stay astride, stay out of the water... Every November, the Scorpio Races are run beneath the chalk cliffs of Skarmouth. Thousands gather to watch the horses and the sea that washes the blood from the sand. The mounts are capaill uisce: savage water horses. There are no horses more beautiful, more fearless, more deadly. To race them can be suicide but the danger is irresistible. Sean Kendrick knows the dangers of the capaill uisce. With one foot in the ocean and one on land, he is the only man on the island capable of taming the beasts. He races to prove something both to himself and to the horses. Puck Connolly enters the races to save her family. But the horse she rides is an ordinary little mare, just as Puck is an ordinary girl. When Sean sees Puck on the beach he doesn't think she belongs. He doesn't realize his fate will become entwined in hers. They both enter the Races hoping to change their lives. But first they'll have to survive.",['Dystopian'],4,NOT_MATURE,0
The Women Could Fly,['Megan Giddings'],dystopian,"Reminiscent of the works of Margaret Atwood, Shirley Jackson, and Octavia Butler, a biting social commentary from the acclaimed author of Lakewood that speaks to our times--a piercing dystopian novel about the unbreakable bond between a young woman and her mysterious mother, set in a world in which witches are real and single women are closely monitored. Josephine Thomas has heard every conceivable theory about her mother's disappearance. That she was kidnapped. Murdered. That she took on a new identity to start a new family. That she was a witch. This is the most worrying charge because in a world where witches are real, peculiar behavior raises suspicions and a woman--especially a Black woman--can find herself on trial for witchcraft. But fourteen years have passed since her mother's disappearance, and now Jo is finally ready to let go of the past. Yet her future is in doubt. The State mandates that all women marry by the age of 30--or enroll in a registry that allows them to be monitored, effectively forfeiting their autonomy. At 28, Jo is ambivalent about marriage. With her ability to control her life on the line, she feels as if she has her never understood her mother more. When she's offered the opportunity to honor one last request from her mother's will, Jo leaves her regular life to feel connected to her one last time. In this powerful and timely novel, Megan Giddings explores the limits women face--and the powers they have to transgress and transcend them.",['Fiction'],4.5,NOT_MATURE,368
The Loners,['Lex Thomas'],dystopian,No description,No category,0,Not rated,No data
Noughts and Crosses,['Malorie Blackman'],dystopian,Tackles the issues of racism and prejudice in a world set in an alternate historical reality.,['Large type books'],4,NOT_MATURE,416
I Am the Cheese,['Robert Cormier'],dystopian,"First published in 1977, ""I Am the Cheese"" provides an exciting introduction to psychological thrillers. This sensitive, emotional, subtly-crafted novel by the author of ""The Chocolate War"" was a ""New York Times"" Outstanding Book of the Year, as well as a ""School Library Journal"" Best Book of the Year.",['English fiction'],4,NOT_MATURE,190
Z for Zachariah,"[""Robert C. O'Brien""]",dystopian,"""I am afraid. Someone is coming."" Ann Burden, the lone survivor of a nuclear holocaust, is threatened by the arrival in her valley of an unknown intruder. She hides, he watches and they both wait. Might he be a friend and ally, this scientist in a radiation-proof suit, or have the horrors he has witnessed turned him into something more sinister? The answer unfolds in a battle of wills which ends in a chilling struggle for survival, between a girl and the last man on earth. 'A stunning book... not to be missed.' Observer",['Easy to read'],4,NOT_MATURE,192
The Beast of Heaven,['Victor Kelleher'],dystopian,No description,No category,0,Not rated,No data
Homecoming,['Kass Morgan'],dystopian,No description,No category,0,Not rated,No data
The Innocence Device,['William Kowalski'],dystopian,"In a dystopian future where there are only prisoners and those who guard them, a young man survives an uprising and stumbles toward the freedom he's never known.",['FICTION'],3.5,NOT_MATURE,0
An Ocean of Minutes,['Thea Lim'],dystopian,"An Indie Next PickAmerica is in the grip of a deadly flu pandemic. When Frank is infected, his girlfriend Polly will do anything to save him. Time travel has been invented in the future to thwart the virus. If she signs up for a one-way-trip to work as a bonded laborer, the company will pay for Frank's life-saving treatment. Polly promises to meet Frank again in Galveston, Texas, where she will arrive in twelve years. But when Polly is re-routed an extra five years into the future, Frank is nowhere to be found. Alone in a changed and divided America, with no status and no money, Polly must navigate a new life and find a way to discover if Frank is alive, and if their love has endured.",['Fiction'],3,NOT_MATURE,0
Only Forward,['Michael Marshall Smith'],dystopian,No description,No category,0,Not rated,No data
Storm Thief,['Chris Wooding'],dystopian,"The darkly thrilling new novel from master storyteller Chris Wooding. Orokos is a city of chaos, lashed by probability storms that re-order the world wherever they strike. It covers every inch of the rocky island that it dominates.It has stood for so long that history has forgotten it, and its inhabitants no longer question what exists beyond its walls. Then three of its denizens discover the key to the secret at the heart of Orokos. But there are others, such as the Chief of the Protectorate Secret Police who would do anything to get their hands on that power ... anything at all...",['Fantasy fiction'],4,NOT_MATURE,387
The Night is for Hunting,['John Marsden'],dystopian,No description,No category,0,Not rated,No data
World Made by Hand,['James Howard Kunstler'],dystopian,"Kunstler makes an imaginative leap into the future, a few decades hence, and shows what life may be like after these coming catastrophes--the end of oil, climate change, global pandemics, and resource wars--converge.",['Dystopian'],3,NOT_MATURE,0
We All Fall Down,['Robert Cormier'],dystopian,"A teenage girl is caught in a web of violence when her house is trashed and her sister beaten unconscious, and her main source of comfort is her boyfriend Buddy, until she discovers that he was one of the perpetrators.",['American fiction'],3,NOT_MATURE,192
The Maze Runner 2. The Scorch Trials. Movie Tie-In,['James Dashner'],dystopian,No description,No category,0,Not rated,No data
Dead of Night,['J. D. Robb'],dystopian,No description,No category,0,Not rated,No data
Among the Brave,['Margaret Peterson Haddix'],dystopian,"In the aftermath of a crisis that threatens the safety of all shadow children, illegal third-borns in a society that allows only two chidren per family, Trey's friends expect him to take charge, a function he doesn't want or think he can do.",['Dystopian'],4.5,NOT_MATURE,229
The Eleventh Plague,['Jeff Hirsch'],dystopian,"Twenty years after the start of the war that caused the Collapse, fifteen-year-old Stephen, his father, and grandfather travel post-Collapse America scavenging, but when his grandfather dies and his father decides to risk everything to save the lives of two strangers, Stephen's life is turned upside down.",['Juvenile Fiction'],3,NOT_MATURE,278
Jacob's Ladder,['Brian Keaney'],dystopian,"When Jacob wakes up in the middle of a field, he realizes that the only thing he remembers is his name, and when he arrives at a nearby town he becomes aware that everyone there is also suffering from amnesia.",['Juvenile Fiction'],4,NOT_MATURE,232
London,['Frank Tayell'],dystopian,No description,No category,0,Not rated,No data
Forbidden Paths of Thual,['Victor Kelleher'],dystopian,No description,No category,0,Not rated,No data
Obernewtyn,['Isobelle Carmody'],dystopian,"The first of the TObernewtyn' fantasy chronicles. In a post-apocalypse world Elspeth, a misfit with magical powers, stands against the ruthless ruling council. It was shortlisted in the 1988 Children's Book Council Awards for older readers. The second in the series, entitled TThe Farseekers', was published in 1990. The author's other novels are TScatterlings' and TThe Gathering'.",['Dystopias'],4,NOT_MATURE,248
"One for Sorrow, Two for Joy",['Clive Woodall'],dystopian,"Welcome to Birddom - a land where magpies rule. Dark forces are at work. An evil intelligence is masterminding their inexorable rise. Dominance has been achieved by systematic genocide and slaughter. In Birddom, blackbird and sparrow have been exterminated. The magpie has replaced the pigeon in the city and the starling in the garden. For small birds throughout the land, survival is everything. Birddom needs a hero. A bird to fight the darkness and bring light back to the land. But what can one bird do in the face of such evil?",['Birds'],2.5,NOT_MATURE,295
The Keeping Place,['Isobelle Carmody'],dystopian,No description,No category,0,Not rated,No data
The Mask of Caliban,['Michael Pryor'],dystopian,No description,No category,0,Not rated,No data
Ashes,['Ilsa J. Bick'],dystopian,"Alex, a resourceful 17-year-old running from her incurable brain tumor, Tom, who has left the war in Afghanistan, and Ellie, an angry eight-year-old, join forces after an electromagnetic pulse sweeps through the sky and kills most of the world's population, turning some of those who remain into zombies and giving the others superhuman senses.",['Dystopian'],3.5,NOT_MATURE,0
Full Tilt,['Neal Shusterman'],thriller,"When sixteen-year-old Blake goes to a mysterious, by-invitation-only carnival he somehow knows that it could save his comatose brother, but soon learns that much more is at stake if he fails to meet the challenge presented there by the beautiful Cassandra",['Juvenile Fiction'],3.5,NOT_MATURE,208
The Phantom of Manhattan,"['Frederick Forsyth', ""Patrick O'Brian""]",thriller,"A stunning sequel to Phantom of the Opera. It is 1906 and Erik, the creature with the hideous face but poetic heart, has escaped to America. He has heard that his beloved-now an international opera star-has a son, and is determined to learn the truth.",['Composers'],2.5,NOT_MATURE,236
Brother Odd,['Dean Ray Koontz'],thriller,"Loop me in, odd one.The words, spoken in the deep of night by a sleeping child, chill the young man watching over her. For this was a favorite phrase of Stormy Llewellyn, his lost love, and Stormy is dead, gone forever from this world. In the haunted halls of the isolated monastery where he had sought peace, Odd Thomas is stalking spirits of an infinitely darker nature Through twoNew York Timesbestselling novels Odd Thomas has established himself as one of the most beloved and unique fictional heroes of our time. Now, wielding all the power and magic of a master storyteller at the pinnacle of his craft, Dean Koontz follows Odd into a singular new world where he hopes to make a fresh beginning—but where he will meet an adversary as old and inexorable as time itself. St. Bartholomew’s Abbey sits in majestic solitude amid the wild peaks of California’s high Sierra, a haven for children otherwise abandoned, and a sanctuary for those seeking insight. Odd Thomas has come here to learn to live fully again, and among the eccentric monks, their other guests, and the nuns and young students of the attached convent school, he has begun to find his way. The silent spirits of the dead who visited him in his earlier life are mercifully absent, save for the bell-ringing Brother Constantine and Odd’s steady companion, the King of Rock 'n' Roll. But trouble has a way of finding Odd Thomas, and it slinks back onto his path in the form of the sinister bodachs he has met previously, the black shades who herald death and disaster, and who come late one December night to hover above the abbey’s most precious charges. For Odd is about to face an enemy who eclipses any he has yet encountered, as he embarks on a journey of mystery, wonder, and sheer suspense that surpasses all that has come before. From the Hardcover edition.",['Colecção Suspense'],3.5,NOT_MATURE,464
Point of Balance,['J.G. Jurado'],thriller,No description,No category,0,Not rated,No data
Cimarron Rose,['James Lee Burke'],thriller,No description,No category,0,Not rated,No data
Hot Springs,['Stephen Hunter'],thriller,"This novel is set in the summer of 1946. Hot Springs, Arkansas is the center of this book about corruption and the life an ex-Marine named Earl Swagger.",['FICTION.'],4,NOT_MATURE,488
The Dark Half,['Stephen King'],thriller,No description,No category,0,Not rated,No data
Artifact,"['Kevin J. Anderson', 'Janet Berliner', 'F. Paul Wilson', 'Matthew Costello']",thriller,No description,No category,0,Not rated,No data
